London Borough,Population 50+,50+, Female50+, Male 50+,Population 65+
Barking and Dagenham,43700,24,54,46,19200
Barnet,102700,29,54,46,47400
Bexley,77800,34,54,46,47900
Brent,77800,25,52,48,32600
Bromley,108200,35,54,46,51900
Camden,53500,24,53,47,24100
City of London,2400,32,50,50,1000
Croydon,103500,29,54,46,44500
Ealing,86100,25,53,46,36300
Enfield,86600,28,54,46,39000
Greenwich,61300,24,53,47,26000
Hackney,44800,18,52,48,17300
Hammersmith and Fulham,38900,21,54,46,16400
Haringey,55900,22,54,46,22500
Harrow,73900,31,55,45,33600
Hillingdon,78000,29,52,48,35200
Hounslow,64500,25,53,47,26900
Islington,43400,21,53,47,18100
Kensington and Chelsea,44700,28,54,46,19300
Kingston upon Thames,45800,29,53,47,20300
Lambeth,59000,20,53,47,23100
Lewisham,63300,23,54,56,26200
Merton,52600,26,54,46,23200
Newham,54500,18,53,47,20400
Redbridge,76400,27,54,47,33400
Richmond upon Thames,57100,31,57,43,25200
Southwark,58500,20,56,44,22400
Sutton,60000,32,53,47,27300
Tower Hamlets,39100,15,51,49,15800
Waltham Forest,61100,24,54,46,25600
Wandsworth,63200,21,54,46,27100
Westminster,55100,25,52,48,24400
